Erro/Duvida,Como Fazer:,Contexto / Quando acontece,Criado em,Foto do erro,Resolução (passo a passo),Sistema,Tags,Última edição
CFOP para entrada de devolução emitida pelo cliente do usuario,,O cliente recebeu uma nota de devolução emitida por seu próprio cliente e precisa dar entrada na nota.,12 de junho de 2026 07:37,,"O CFOP de entrada deve ser definido conforme orientação da contabilidade da empresa. Em casos de devolução, é necessário consultar o contador para identificar o CFOP correto antes de realizar a entrada da nota.",SCG-win,Informação,12 de junho de 2026 07:40
Qual CST utilizar para produtos com CST de ST 500,,Dúvida sobre a correspondência do CST utilizado em operações com Substituição Tributária.,12 de junho de 2026 07:37,,"Quando o CST da operação for 500 (ICMS cobrado anteriormente por substituição tributária), o CST correspondente considerado é 60.",SCG-win,Informação,12 de junho de 2026 07:40
Tabela que armazena Ordens de Serviço,,Necessidade de identificar a tabela do banco de dados que armazena as Ordens de Serviço.,12 de junho de 2026 07:38,,A tabela responsável pelo armazenamento das Ordens de Serviço no Corpore é a OSCAD.,Corpore,Informação,12 de junho de 2026 07:40
Como liberar acesso de usuário no Agilis,,Necessidade de conceder permissões para utilização do Agilis.,12 de junho de 2026 07:39,,"Acessar o cadastro do usuário no Retaguarda.
Abrir a aba Cupom Fiscal.
Marcar todas as permissões disponíveis.
Salvar as alterações.

Observação: A senha padrão segue a regra definida pela empresa (código do usuário + senha cadastrada do usuário).",Ágilis,Onde ir Para fazer X,12 de junho de 2026 07:40
Prorrogação de Boletos,,Quando há necessidade de prorrogar o vencimento de boletos já emitidos e liberar lançamentos na área de cheques,15 de junho de 2026 07:30,,"Identificar se o boleto já está registrado no banco.

Caso o boleto já esteja em posse da instituição financeira, a alteração/solicitação de prorrogação deve ser resolvida diretamente com o banco responsável.",SCG-win,Onde ir Para fazer X,15 de junho de 2026 07:32
Campo Fundo de Caixa Bloqueado,,Ocorre ao tentar preencher o valor do fundo de caixa após o operador já ter iniciado ou aberto o caixa.,15 de junho de 2026 07:31,,"Certifique-se de que o caixa ainda não foi aberto.

O valor do campo ""Fundo de Caixa"" deve ser inserido obrigatoriamente antes de realizar a abertura oficial do caixa.",SCG-win,Informação,15 de junho de 2026 07:32
Estorno de Nota de Entrada (Erro do Cliente),,"O cliente tenta realizar o estorno de uma nota fiscal de entrada, mas o sistema bloqueia a operação porque os itens já geraram movimentação de estoque.",15 de junho de 2026 07:31,,"Para permitir o estorno mesmo com o estoque movimentado, é necessário ativar um parâmetro específico no sistema.

Acesse as configurações de parâmetros e ative a opção: ""Não validar estorno de itens sem estoque"".

Após ativar o parâmetro, oriente o cliente a realizar o estorno da nota novamente e refazer o processo correto.",SCG-win,Onde ir Para fazer X,15 de junho de 2026 07:32
Pedidos Presos no Ágilis com NF já Emitida(disphel),,"Quando o pedido de venda perde o vínculo com a nota fiscal emitida, fazendo com que o Ágilis continue listando o pedido para importação e emissão de cupom de forma indevida.",15 de junho de 2026 07:32,,"Identificou-se que o campo codnfvenda estava em branco/nulo na tabela de pedidos (pedvend).

Localize o código da Nota Fiscal de Venda correspondente ao pedido.

Insira/vincule manualmente o código da NF (codnfvenda) diretamente no respectivo pedido de venda (pedvend) para atualizar o status e sumir da lista do Ágilis.",SCG-win,Informação,15 de julho de 2026 08:33
SVC desabilitado pela sefaz de origem,,,7 de julho de 2026 08:06,,ir no SGNF@ e trocar a forma de emissão da nota (no 06),SGNFE,,16 de julho de 2026 08:41
"BOLETO , IMPRESSO NORMAL E ENVIADO SIGLA PARA POR NO BANCO",,,8 de julho de 2026 09:11,,"N - NORMAL
S- IMPRESSO
E - ENVIADO",SCG-win,,16 de julho de 2026 08:41
